ApplicantID,Year,Program,Branch,Quota,SeatType,KA_Flag,State,District,UrbanRural,Marks10,Marks12,MeritScore,ApplicationDate,Admitted,AdmitSeat
CE02826,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,86.73,84.72,88.46,4/17/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02977,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Mangalore,Urban,94.33,85.19,88.44,3/24/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02983,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Andhra Pradesh,Chennai,Urban,84.18,85.77,88.02,1/16/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02760,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Tumkur,Rural,84.29,86.76,87.97,1/24/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02897,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,92.25,83.33,87.65,2/7/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02802,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,74.98,85.51,87.62,4/15/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02801,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Urban,Urban,94.94,76.29,87.33,6/16/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03081,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,86.16,81.8,87.19,3/3/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03075,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Urban,Urban,92.91,79.74,87.11,4/4/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02951,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Maharashtra,Chennai,Urban,90.26,83.68,86.97,1/6/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02960,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Shimoga,Rural,76.29,89.38,86.94,4/27/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03018,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Tumkur,Rural,82.61,90.26,86.86,5/22/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02984,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Kerala,Kochi,Rural,86.54,89.75,86.72,6/13/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03034,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Urban,Urban,94.12,75.83,86.36,6/3/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03078,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Hubli-Dharwad,Rural,84.32,80.35,86.35,6/16/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02992,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Dharwad,Rural,95.87,80.5,86.28,5/13/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03107,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,75.73,82.78,86.26,5/21/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03136,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,80.39,87.61,86.21,5/2/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03122,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Mangalore,Urban,79.16,90.11,86.05,2/18/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02939,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,84.1,77.61,85.89,3/28/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02971,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,78.2,87.25,85.86,6/16/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02940,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Rural,Rural,78.25,87.52,85.8,4/16/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03044,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Rural,Rural,82.49,83.97,85.73,3/17/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02976,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,85.66,86.74,85.72,2/20/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02751,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Dharwad,Rural,82.45,79.91,85.7,2/27/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03148,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Shimoga,Rural,75.19,85,85.7,3/21/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03100,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,79.64,82.13,85.68,4/17/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02898,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,86.35,80.53,85.48,2/26/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03053,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mysuru,Urban,77.14,91.22,85.43,4/17/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02777,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Dharwad,Rural,73.26,92.32,85.39,6/20/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02966,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,82.33,83.27,85.38,5/14/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02794,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,83.34,87.44,85.3,1/11/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02848,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Telangana,Hyderabad,Urban,93.02,74.53,85.11,1/14/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02995,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Hubli-Dharwad,Rural,86.19,84.94,85.04,2/9/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02758,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,88.29,85.58,85.02,5/17/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02809,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Hubli-Dharwad,Rural,86.97,82.75,84.94,4/4/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02872,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Maharashtra,Chennai,Urban,86.89,79.23,84.91,5/11/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03104,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Shimoga,Rural,86.35,83.95,84.87,5/11/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02765,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Bengaluru Rural,Rural,85.89,79.95,84.85,1/1/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02924,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,84.76,80.54,84.79,4/22/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03017,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Mysuru,Urban,81.11,79.84,84.78,6/17/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03109,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Shimoga,Rural,84.75,83.27,84.72,1/6/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02796,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,85.29,87.45,84.63,5/24/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02859,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Belagavi,Rural,98.08,71.16,84.47,5/1/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02840,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,0,Andhra Pradesh,Vijayawada,Rural,94.06,80.44,84.42,2/17/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02747,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mysuru,Urban,82.12,82.03,84.41,1/5/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02858,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Shimoga,Rural,76.07,86.17,84.12,3/1/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02997,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Davanagere,Rural,67.73,81.6,84.1,4/5/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02953,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mysuru,Urban,78.14,84.89,84.04,5/22/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03041,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,78.22,78.78,83.95,4/24/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02917,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,0,Maharashtra,Pune,Urban,88.28,78.47,83.89,4/26/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02843,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Hubli-Dharwad,Rural,86.21,86.71,83.87,6/12/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02930,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Tumkur,Rural,89,83.47,83.83,5/13/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03028,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Belagavi,Rural,87.76,79.71,83.83,4/21/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02901,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,78.47,83.26,83.76,2/6/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03120,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Mysuru,Urban,80.61,82.6,83.76,5/16/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE02937,2019,B.Tech,Artificial Intelligence and Machine Learning,Management,Self-Financed,1,Karnataka,Mysuru,Urban,85.84,79.62,83.75,4/21/2019,Yes,Artificial Intelligence and Machine Learning_MGMT_2019
CE03060,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Dharwad,Rural,85.22,86.35,83.68,1/2/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03112,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Mangalore,Urban,85.07,81.9,83.68,5/22/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE03141,2019,B.Tech,Artificial Intelligence and Machine Learning,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,76.88,85.11,83.57,2/21/2019,Yes,Artificial Intelligence and Machine Learning_GOVT_2019
CE02701,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Davanagere,Rural,89.37,93.62,96.35,1/10/2019,Yes,Civil Engineering_GOVT_2019
CE02668,2019,B.Tech,Civil Engineering,Government,Merit,0,Tamil Nadu,Coimbatore,Urban,80.62,86.5,93.57,3/10/2019,Yes,Civil Engineering_GOVT_2019
CE02729,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Hubli-Dharwad,Rural,84.91,92.86,93.14,4/28/2019,Yes,Civil Engineering_GOVT_2019
CE02679,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mysuru,Urban,88.76,88.82,91.74,5/10/2019,Yes,Civil Engineering_GOVT_2019
CE02644,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Belagavi,Rural,86.72,91.68,91.13,5/17/2019,Yes,Civil Engineering_MGMT_2019
CE02524,2019,B.Tech,Civil Engineering,Government,Merit,0,Telangana,Hyderabad,Urban,73.03,92.66,90.66,5/27/2019,Yes,Civil Engineering_GOVT_2019
CE02710,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Dharwad,Rural,82.51,86.79,90.12,3/3/2019,Yes,Civil Engineering_GOVT_2019
CE02528,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Dharwad,Rural,83.35,81.31,89.73,4/22/2019,Yes,Civil Engineering_GOVT_2019
CE02631,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,84.98,87.86,89.11,1/13/2019,Yes,Civil Engineering_GOVT_2019
CE02601,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Hubli-Dharwad,Rural,78.15,89.27,88.89,2/19/2019,Yes,Civil Engineering_MGMT_2019
CE02613,2019,B.Tech,Civil Engineering,Management,Self-Financed,0,Tamil Nadu,Hyderabad,Urban,80.46,81.11,88.55,4/8/2019,Yes,Civil Engineering_MGMT_2019
CE02586,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Bengaluru Rural,Rural,84.71,89.41,87.42,2/24/2019,Yes,Civil Engineering_MGMT_2019
CE02719,2019,B.Tech,Civil Engineering,Government,Merit,0,Andhra Pradesh,Vijayawada,Rural,89.16,80.14,87.28,6/15/2019,Yes,Civil Engineering_GOVT_2019
CE02625,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Dharwad,Rural,81.41,82.48,87.17,1/10/2019,Yes,Civil Engineering_MGMT_2019
CE02715,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Mysuru,Urban,80.83,87.27,86.99,2/6/2019,Yes,Civil Engineering_MGMT_2019
CE02699,2019,B.Tech,Civil Engineering,Government,Merit,0,Telangana,Hyderabad,Urban,79.54,93,86.91,2/23/2019,Yes,Civil Engineering_GOVT_2019
CE02640,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mangalore,Urban,94.11,79.93,86.47,3/12/2019,Yes,Civil Engineering_GOVT_2019
CE02584,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Davanagere,Rural,82.17,80.99,86.26,2/25/2019,Yes,Civil Engineering_GOVT_2019
CE02621,2019,B.Tech,Civil Engineering,Government,Merit,0,Kerala,Pune,Urban,83.28,83.26,86.16,4/6/2019,Yes,Civil Engineering_GOVT_2019
CE02538,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Bengaluru Rural,Rural,87.92,78.14,86.11,1/16/2019,Yes,Civil Engineering_MGMT_2019
CE02573,2019,B.Tech,Civil Engineering,Government,Merit,0,Andhra Pradesh,Hyderabad,Urban,78.29,86.54,86,2/6/2019,Yes,Civil Engineering_GOVT_2019
CE02533,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mangalore,Urban,90.96,73.35,85.91,6/21/2019,Yes,Civil Engineering_GOVT_2019
CE02702,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Davanagere,Rural,77.35,90.28,85.9,3/10/2019,Yes,Civil Engineering_GOVT_2019
CE02635,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,86.74,80.16,85.84,5/23/2019,Yes,Civil Engineering_GOVT_2019
CE02582,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Belagavi,Rural,80.72,85.86,85.63,5/19/2019,Yes,Civil Engineering_MGMT_2019
CE02545,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,93.71,76.62,85.3,5/6/2019,Yes,Civil Engineering_GOVT_2019
CE02633,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Bengaluru Urban,Urban,81.93,79.52,85.27,3/12/2019,Yes,Civil Engineering_GOVT_2019
CE02525,2019,B.Tech,Civil Engineering,Government,Merit,0,Andhra Pradesh,Chennai,Urban,70.18,94.19,85.22,1/11/2019,Yes,Civil Engineering_GOVT_2019
CE02550,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mangalore,Urban,86.5,85.01,85.16,5/2/2019,Yes,Civil Engineering_GOVT_2019
CE02660,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mangalore,Urban,84.89,82.66,85.09,5/21/2019,Yes,Civil Engineering_GOVT_2019
CE02684,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Tumkur,Rural,86.52,85.35,84.97,4/10/2019,Yes,Civil Engineering_GOVT_2019
CE02534,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mysuru,Urban,84.21,83.82,84.48,1/6/2019,Yes,Civil Engineering_GOVT_2019
CE02647,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Dharwad,Rural,79.88,81.61,84.31,3/15/2019,Yes,Civil Engineering_GOVT_2019
CE02558,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Mangalore,Urban,81.3,82.98,84.3,2/21/2019,Yes,Civil Engineering_GOVT_2019
CE02659,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,83.99,89.43,83.87,1/28/2019,Yes,Civil Engineering_GOVT_2019
CE02564,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Tumkur,Rural,86.36,80.63,83.75,3/14/2019,Yes,Civil Engineering_MGMT_2019
CE02642,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Tumkur,Rural,84.89,83.56,83.72,1/3/2019,Yes,Civil Engineering_GOVT_2019
CE02682,2019,B.Tech,Civil Engineering,Government,Merit,0,Telangana,Coimbatore,Urban,75.91,78.41,83.35,1/24/2019,Yes,Civil Engineering_GOVT_2019
CE02662,2019,B.Tech,Civil Engineering,Government,Merit,1,Karnataka,Davanagere,Rural,81.96,85.77,83.33,4/19/2019,Yes,Civil Engineering_GOVT_2019
CE02549,2019,B.Tech,Civil Engineering,Management,Self-Financed,0,Telangana,Vijayawada,Rural,70.03,86.4,83.03,2/15/2019,Yes,Civil Engineering_MGMT_2019
CE02626,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Shimoga,Rural,83.51,84.14,82.56,3/23/2019,Yes,Civil Engineering_MGMT_2019
CE02651,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Mysuru,Urban,91.35,81.3,82.24,3/3/2019,Yes,Civil Engineering_MGMT_2019
CE02720,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Mangalore,Urban,75.72,78.81,82.01,1/26/2019,Yes,Civil Engineering_MGMT_2019
CE02574,2019,B.Tech,Civil Engineering,Management,Self-Financed,1,Karnataka,Bengaluru Urban,Urban,86.22,76.96,81.72,1/21/2019,Yes,Civil Engineering_MGMT_2019
CE02579,2019,B.Tech,Civil Engineering,Management,Self-Financed,0,Maharashtra,Coimbatore,Urban,91.25,74.84,81.56,2/26/2019,Yes,Civil Engineering_MGMT_2019
CE03186,2019,B.Tech,Computer Engineering,Management,Self-Financed,1,Karnataka,Bengaluru Urban,Urban,91.21,90.63,97.5,4/11/2019,Yes,Computer Engineering_MGMT_2019
CE03318,2019,B.Tech,Computer Engineering,Government,Merit,0,Maharashtra,Vijayawada,Rural,82.72,95.61,91.51,2/3/2019,Yes,Computer Engineering_GOVT_2019
CE03184,2019,B.Tech,Computer Engineering,Government,Merit,0,Tamil Nadu,Pune,Urban,89.07,91.66,91.26,1/15/2019,Yes,Computer Engineering_GOVT_2019
CE03310,2019,B.Tech,Computer Engineering,Management,Self-Financed,0,Maharashtra,Pune,Urban,80.48,91.63,90.18,3/26/2019,Yes,Computer Engineering_MGMT_2019
CE03287,2019,B.Tech,Computer Engineering,Government,Merit,1,Karnataka,Bengaluru Rural,Rural,88.49,88.93,89.71,2/24/2019,Yes,Computer Engineering_GOVT_2019
